out_R,ring_w,hex_R,gap_l1,petal_s,gnd_h
4.96,0.6,3.55,1.0,1.0,6.0
5.3233,0.7615,3.4638,1.2278,0.8875,6.6
5.0994,0.7702,3.1847,1.8648,1.0225,5.2
5.291,0.6105,3.3774,1.1298,0.896,8.8
5.1383,0.4146,3.8614,1.8816,0.6288,6.8
5.0838,0.5672,3.5837,1.1071,0.7158,3.6
5.3992,0.407,3.6133,0.8741,1.3472,6.8
4.7006,0.4088,3.4975,1.9399,1.2418,7.0
4.8463,0.5497,3.3724,0.8839,1.1605,5.0
5.2652,0.5392,3.3633,1.1344,0.9738,4.8
4.4224,0.4831,2.9154,0.9176,0.7351,8.8
5.5479,0.7189,3.0861,1.2706,0.8708,4.0
4.7437,0.7285,2.964,0.8807,0.8984,6.8
5.428,0.4345,4.0814,1.5504,1.1009,7.2
5.397,0.4132,4.0099,1.819,1.2664,6.4
5.424,0.6259,3.2662,1.7664,0.8974,9.0
5.3524,0.4297,3.7664,0.7722,1.1134,7.0
4.9682,0.8289,3.0063,1.6841,0.7416,8.0
5.4212,0.5824,2.8896,1.662,0.7993,4.8
4.5988,0.6002,3.0234,1.0835,1.0424,6.8
4.9948,0.8172,2.6903,1.058,0.7842,5.4
4.2483,0.4042,3.0076,1.1498,1.0933,5.0
5.1265,0.5537,3.4071,0.5042,0.8296,8.4
5.0869,0.4928,2.8246,1.3754,0.764,6.2
5.2722,0.4539,3.5739,1.608,1.3233,6.4
5.5518,0.4919,4.1967,0.5036,0.97,6.4
5.5343,0.5354,3.0901,1.5707,1.1095,8.4
4.7684,0.5027,3.2387,1.5178,1.2034,6.0
5.5393,0.6062,2.684,1.8163,0.8366,6.8
5.2394,0.587,3.6239,1.6525,1.0649,6.8
4.8884,0.5968,3.0581,0.5567,0.9202,7.8
5.277,0.4667,2.9339,0.4261,0.7402,6.4
5.2557,0.5425,3.1967,1.0681,1.1659,6.2
5.5585,0.5002,3.7611,1.6233,0.9198,8.8
4.9777,0.766,3.1103,1.491,0.6949,3.8
5.4677,0.652,3.4914,1.5447,1.2002,7.2
5.5863,0.5478,3.3212,1.8774,1.1721,7.0
5.1428,0.4699,3.2458,0.6866,1.1757,8.8
5.0922,0.803,2.8655,1.5284,0.6075,4.6
5.3086,0.4812,3.4756,1.6904,0.736,8.4
4.6506,0.6464,2.6747,1.3785,0.6571,4.0
4.5258,0.5251,3.1688,1.4631,0.8018,9.0
4.5191,0.4277,2.8613,0.9862,0.6756,7.6
5.2422,0.4943,3.7139,1.3849,1.275,6.8
4.6454,0.7647,2.8501,0.9802,0.8584,8.8
